name,binomial_A,binomial_E,bs_price,implied_vol,opt_type,strike
SPY190215C00265000,6.1422,6.1422,6.1400,0.1596,C,265.0000
SPY190215P00265000,0.7983,0.7961,0.7900,0.1580,P,265.0000
SPY190215C00266000,5.3300,5.3300,5.3300,0.1557,C,266.0000
SPY190215P00266000,0.9537,0.9509,0.9500,0.1519,P,266.0000
SPY190215C00267000,4.4952,4.4952,4.4900,0.1476,C,267.0000
SPY190215P00267000,1.1622,1.1585,1.1600,0.1470,P,267.0000
SPY190215C00268000,3.6939,3.6939,3.6900,0.1392,C,268.0000
SPY190215P00268000,1.3968,1.3919,1.3900,0.1409,P,268.0000
SPY190215C00269000,3.0327,3.0327,3.0300,0.1365,C,269.0000
SPY190215P00269000,1.6994,1.6927,1.6900,0.1359,P,269.0000
SPY190215C00270000,2.4190,2.4190,2.4200,0.1330,C,270.0000
SPY190215P00270000,2.0652,2.0562,2.0600,0.1310,P,270.0000
SPY190215C00271000,1.8709,1.8709,1.8700,0.1293,C,271.0000
SPY190215P00271000,2.5102,2.4976,2.5000,0.1267,P,271.0000
SPY190215C00272000,1.3908,1.3908,1.3900,0.1248,C,272.0000
SPY190215P00272000,3.0419,3.0251,3.0200,0.1227,P,272.0000
SPY190215C00273000,0.9908,0.9908,0.9900,0.1209,C,273.0000
SPY190215P00273000,3.6612,3.6382,3.6400,0.1195,P,273.0000
SPY190215C00274000,0.6897,0.6897,0.6900,0.1181,C,274.0000
SPY190215P00274000,4.3802,4.3497,4.3500,0.1175,P,274.0000
SPY190215C00275000,0.4615,0.4615,0.4600,0.1160,C,275.0000
SPY190215P00275000,5.1718,5.1317,5.1300,0.1162,P,275.0000
SPY190315C00265000,8.6051,8.6051,8.6000,0.1528,C,265.0000
SPY190315P00265000,3.1554,3.1328,3.1300,0.1637,P,265.0000
SPY190315C00266000,7.7469,7.7469,7.7400,0.1461,C,266.0000
SPY190315P00266000,3.4355,3.4099,3.4100,0.1613,P,266.0000
SPY190315C00267000,7.0625,7.0625,7.0600,0.1443,C,267.0000
SPY190315P00267000,3.7504,3.7210,3.7200,0.1589,P,267.0000
SPY190315C00268000,6.5428,6.5428,6.5400,0.1466,C,268.0000
SPY190315P00268000,4.0795,4.0460,4.0500,0.1564,P,268.0000
SPY190315C00269000,5.7430,5.7430,5.7400,0.1395,C,269.0000
SPY190315P00269000,4.4506,4.4122,4.4100,0.1541,P,269.0000
SPY190315C00270000,5.1431,5.1431,5.1400,0.1378,C,270.0000
SPY190315P00270000,4.8555,4.8115,4.8100,0.1523,P,270.0000
SPY190315C00271000,4.5763,4.5763,4.5700,0.1356,C,271.0000
SPY190315P00271000,5.3071,5.2570,5.2500,0.1505,P,271.0000
SPY190315C00272000,3.9870,3.9870,3.9900,0.1323,C,272.0000
SPY190315P00272000,5.7717,5.7130,5.7200,0.1487,P,272.0000
SPY190315C00273000,3.4812,3.4812,3.4800,0.1300,C,273.0000
SPY190315P00273000,6.2969,6.2317,6.2300,0.1471,P,273.0000
SPY190315C00274000,2.9953,2.9953,2.9900,0.1273,C,274.0000
SPY190315P00274000,6.8635,6.7881,6.7900,0.1463,P,274.0000
SPY190315C00275000,2.5657,2.5657,2.5700,0.1253,C,275.0000
SPY190315P00275000,7.4641,7.3797,7.3800,0.1453,P,275.0000
SPY190418C00265000,10.2397,10.2397,10.2400,0.1393,C,265.0000
SPY190418P00265000,5.0641,5.0063,5.0100,0.1660,P,265.0000
SPY190418C00266000,9.5104,9.5104,9.5100,0.1370,C,266.0000
SPY190418P00266000,5.3774,5.3152,5.3100,0.1639,P,266.0000
SPY190418C00267000,8.8839,8.8839,8.8800,0.1364,C,267.0000
SPY190418P00267000,5.7124,5.6439,5.6400,0.1622,P,267.0000
SPY190418C00268000,8.2343,8.2343,8.2400,0.1352,C,268.0000
SPY190418P00268000,6.0684,5.9920,5.9900,0.1604,P,268.0000
SPY190418C00269000,7.6214,7.6214,7.6100,0.1337,C,269.0000
SPY190418P00269000,6.4299,6.3471,6.3400,0.1582,P,269.0000
SPY190418C00270000,6.9524,6.9524,6.9600,0.1311,C,270.0000
SPY190418P00270000,6.8054,6.7131,6.7200,0.1563,P,270.0000
SPY190418C00271000,6.3673,6.3673,6.3600,0.1293,C,271.0000
SPY190418P00271000,7.2461,7.1449,7.1400,0.1548,P,271.0000
SPY190418C00272000,5.7999,5.7999,5.8000,0.1277,C,272.0000
SPY190418P00272000,7.6666,7.5556,7.5500,0.1527,P,272.0000
SPY190418C00273000,5.2622,5.2622,5.2600,0.1260,C,273.0000
SPY190418P00273000,8.1680,8.0438,8.0500,0.1519,P,273.0000
SPY190418C00274000,4.7439,4.7439,4.7400,0.1242,C,274.0000
SPY190418P00274000,8.6900,8.5556,8.5500,0.1507,P,274.0000
SPY190418C00275000,4.2763,4.2763,4.2700,0.1228,C,275.0000
SPY190418P00275000,9.1491,8.9991,9.0000,0.1481,P,275.0000
