name,bs_price,implied_vol,opt_type,strike,trinomial_A,trinomial_E
SPY190215C00265000,6.1400,0.1596,C,265.0000,6.1409,6.1409
SPY190215P00265000,0.7900,0.1580,P,265.0000,0.7970,0.7951
SPY190215C00266000,5.3300,0.1557,C,266.0000,5.3275,5.3275
SPY190215P00266000,0.9500,0.1519,P,266.0000,0.9522,0.9497
SPY190215C00267000,4.4900,0.1476,C,267.0000,4.4923,4.4923
SPY190215P00267000,1.1600,0.1470,P,267.0000,1.1594,1.1559
SPY190215C00268000,3.6900,0.1392,C,268.0000,3.6890,3.6890
SPY190215P00268000,1.3900,0.1409,P,268.0000,1.3918,1.3870
SPY190215C00269000,3.0300,0.1365,C,269.0000,3.0310,3.0310
SPY190215P00269000,1.6900,0.1359,P,269.0000,1.6974,1.6910
SPY190215C00270000,2.4200,0.1330,C,270.0000,2.4184,2.4184
SPY190215P00270000,2.0600,0.1310,P,270.0000,2.0642,2.0556
SPY190215C00271000,1.8700,0.1293,C,271.0000,1.8724,1.8724
SPY190215P00271000,2.5000,0.1267,P,271.0000,2.5110,2.4989
SPY190215C00272000,1.3900,0.1248,C,272.0000,1.3883,1.3883
SPY190215P00272000,3.0200,0.1227,P,272.0000,3.0385,3.0220
SPY190215C00273000,0.9900,0.1209,C,273.0000,0.9925,0.9925
SPY190215P00273000,3.6400,0.1195,P,273.0000,3.6628,3.6405
SPY190215C00274000,0.6900,0.1181,C,274.0000,0.6883,0.6883
SPY190215P00274000,4.3500,0.1175,P,274.0000,4.3785,4.3485
SPY190215C00275000,0.4600,0.1160,C,275.0000,0.4611,0.4611
SPY190215P00275000,5.1300,0.1162,P,275.0000,5.1710,5.1314
SPY190315C00265000,8.6000,0.1528,C,265.0000,8.6043,8.6043
SPY190315P00265000,3.1300,0.1637,P,265.0000,3.1439,3.1220
SPY190315C00266000,7.7400,0.1461,C,266.0000,7.7432,7.7432
SPY190315P00266000,3.4100,0.1613,P,266.0000,3.4381,3.4135
SPY190315C00267000,7.0600,0.1443,C,267.0000,7.0586,7.0586
SPY190315P00267000,3.7200,0.1589,P,267.0000,3.7413,3.7125
SPY190315C00268000,6.5400,0.1466,C,268.0000,6.5433,6.5433
SPY190315P00268000,4.0500,0.1564,P,268.0000,4.0805,4.0482
SPY190315C00269000,5.7400,0.1395,C,269.0000,5.7386,5.7386
SPY190315P00269000,4.4100,0.1541,P,269.0000,4.4451,4.4078
SPY190315C00270000,5.1400,0.1378,C,270.0000,5.1424,5.1424
SPY190315P00270000,4.8100,0.1523,P,270.0000,4.8537,4.8108
SPY190315C00271000,4.5700,0.1356,C,271.0000,4.5732,4.5732
SPY190315P00271000,5.2500,0.1505,P,271.0000,5.3027,5.2539
SPY190315C00272000,3.9900,0.1323,C,272.0000,3.9891,3.9891
SPY190315P00272000,5.7200,0.1487,P,272.0000,5.7743,5.7179
SPY190315C00273000,3.4800,0.1300,C,273.0000,3.4755,3.4755
SPY190315P00273000,6.2300,0.1471,P,273.0000,6.2894,6.2252
SPY190315C00274000,2.9900,0.1273,C,274.0000,2.9895,2.9895
SPY190315P00274000,6.7900,0.1463,P,274.0000,6.8647,6.7918
SPY190315C00275000,2.5700,0.1253,C,275.0000,2.5685,2.5685
SPY190315P00275000,7.3800,0.1453,P,275.0000,7.4579,7.3741
SPY190418C00265000,10.2400,0.1393,C,265.0000,10.2406,10.2406
SPY190418P00265000,5.0100,0.1660,P,265.0000,5.0602,5.0049
SPY190418C00266000,9.5100,0.1370,C,266.0000,9.5056,9.5056
SPY190418P00266000,5.3100,0.1639,P,266.0000,5.3680,5.3070
SPY190418C00267000,8.8800,0.1364,C,267.0000,8.8804,8.8804
SPY190418P00267000,5.6400,0.1622,P,267.0000,5.7129,5.6463
SPY190418C00268000,8.2400,0.1352,C,268.0000,8.2361,8.2361
SPY190418P00268000,5.9900,0.1604,P,268.0000,6.0586,5.9839
SPY190418C00269000,7.6100,0.1337,C,269.0000,7.6171,7.6171
SPY190418P00269000,6.3400,0.1582,P,269.0000,6.4238,6.3427
SPY190418C00270000,6.9600,0.1311,C,270.0000,6.9518,6.9518
SPY190418P00270000,6.7200,0.1563,P,270.0000,6.8027,6.7124
SPY190418C00271000,6.3600,0.1293,C,271.0000,6.3642,6.3642
SPY190418P00271000,7.1400,0.1548,P,271.0000,7.2406,7.1418
SPY190418C00272000,5.8000,0.1277,C,272.0000,5.7931,5.7931
SPY190418P00272000,7.5500,0.1527,P,272.0000,7.6581,7.5488
SPY190418C00273000,5.2600,0.1260,C,273.0000,5.2604,5.2604
SPY190418P00273000,8.0500,0.1519,P,273.0000,8.1687,8.0481
SPY190418C00274000,4.7400,0.1242,C,274.0000,4.7392,4.7392
SPY190418P00274000,8.5500,0.1507,P,274.0000,8.6809,8.5486
SPY190418C00275000,4.2700,0.1228,C,275.0000,4.2739,4.2739
SPY190418P00275000,9.0000,0.1481,P,275.0000,9.1502,9.0029
