name,strike,trinomial_vol,type
SPY190215C00265000,265.0000,0.1598,C
SPY190215P00265000,265.0000,0.1576,P
SPY190215C00266000,266.0000,0.1555,C
SPY190215P00266000,266.0000,0.1515,P
SPY190315C00265000,265.0000,0.1524,C
SPY190315P00265000,265.0000,0.1627,P
SPY190315P00266000,266.0000,0.1605,P
SPY190315P00267000,267.0000,0.1587,P
SPY190315P00268000,268.0000,0.1553,P
SPY190315P00269000,269.0000,0.1528,P
SPY190315P00270000,270.0000,0.1514,P
SPY190418P00265000,265.0000,0.1653,P
SPY190418P00266000,266.0000,0.1629,P
SPY190418P00267000,267.0000,0.1605,P
SPY190418P00268000,268.0000,0.1585,P
SPY190418P00269000,269.0000,0.1565,P
SPY190418P00270000,270.0000,0.1551,P
SPY190418P00271000,271.0000,0.1529,P
SPY190418P00272000,272.0000,0.1501,P
